,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,MSS,chi
122,0.0863069014449688,-0.1058989859206071,-0.1486731087774753,-0.056210356123127365,2.5954111682890506,2.739237097563453,1.732738745499836,3.273296191477352,0.3846788555121798,111.54431422252844
123,0.1214686359596184,-0.1086686263850049,-0.10099679168073701,-0.07531594191826775,1.986246842213936,3.95528863294798,2.7974905572854443,3.2617138530236387,0.4122314609242043,108.63677042493951
124,0.1131472866517151,-0.1119404181203088,-0.1234064244456893,-0.07714131420517874,2.220732920205979,3.364717121153625,2.66744064652641,3.415541122457858,0.4625149484046346,117.45140462230765
126,0.091100754823277,-0.1261335884885528,-0.08100100564112386,-0.05744164477783546,1.64702870675634,2.832154285354274,2.270032541478696,2.516643358051581,0.3227861983337773,113.17622133144494
130,0.1103582334432756,-0.0914032315720532,-0.1075541207335247,-0.05217317783193467,2.18709828183838,3.8441629837615214,1.704730366810081,3.3174387495145283,0.3558437128798499,114.24797872882263
131,0.1334717811487587,-0.1189111139430734,-0.08100139610017701,-0.07875766209212058,1.5861173816650167,4.278446272121284,2.977875578732661,3.030207023081712,0.40130951004415505,111.88529408987522
132,0.08965257378000184,-0.1141110505079213,-0.1485476865792941,-0.05400354148633253,2.628949499060673,3.4750165877782595,2.363844755010501,3.804899052590185,0.4128462704885787,114.18340098450237
133,0.1229878168519466,-0.08819696220972839,-0.1441980089591293,-0.0627225301387046,2.39727356203187,4.644186145402347,2.6329125673299245,3.429407024639435,0.3899976446530713,114.78977056319657
134,0.1088874117519481,-0.1247384761688393,-0.1084251511849654,-0.05757054178913365,2.166526176033889,3.484785944949765,2.0934907503050817,4.013726985998209,0.488303775830116,117.33150081958637
138,0.142950830175478,-0.1149932204054439,-0.117173725199217,-0.07823237636070345,2.03182565432787,4.615400738140732,3.031810996187594,2.07362109300844,0.28159401430891196,116.01452004015226
140,0.08995002762352264,-0.1266748214859364,-0.08346811374231479,-0.05748137707606395,1.657028576425101,2.726876230656531,1.8812451384959457,2.356961939162371,0.3240756613167661,115.45541979353108
142,0.121244894105762,-0.1211262332657941,-0.1437859908365649,-0.07047669369798988,2.290162706851581,3.807911139943144,2.622478685929034,2.545065697018764,0.3291665578604609,108.94318334867971
144,0.08337957399550643,-0.1138269434965518,-0.1292408692276536,-0.05918025114242231,2.359786338980148,2.5594744388264714,2.169880891367562,2.803880219785684,0.33509581576320396,110.68339005078012
145,0.07429576011803868,-0.09252450409315703,-0.1170994133653341,-0.04530583839588749,2.008014729888422,3.0106165858354537,1.8594013661564144,3.414130081036284,0.3442607447856691,112.61011798925644
147,0.06674119966571951,-0.09191313011075293,-0.135186445115233,-0.04715728463469053,2.3664952484028468,2.626854227193144,1.882749319900781,3.575876482593333,0.3935554024761513,119.64497813907488
149,0.1366698642550773,-0.1070438748535754,-0.1210695199598752,-0.0846880425826733,2.3212513203302985,4.817676977953656,3.616250794434849,3.75192693548197,0.4342035857140294,113.41085441946196
150,0.1050242495605075,-0.1271009018460808,-0.08065519664914265,-0.07677004915790805,1.5624172234412232,3.176582464020598,3.0398679343798967,3.8938708427972855,0.5127780370696942,118.43822153143087
151,0.10927198373557001,-0.1062636407404499,-0.1111902000604348,-0.06769349824936692,2.2429996156362617,3.8339299741773982,2.846081456608273,5.112855608551206,0.5634645220244916,118.26432872157706
152,0.1059688012529051,-0.08630814644179523,-0.1460661037531185,-0.06981224105638636,2.63181023702881,3.801412221497732,2.535136126338281,3.86158484104927,0.4373429307117768,118.69055546492088
153,0.13392610641775698,-0.1111196537065126,-0.1112149764453589,-0.06884320365928431,1.92055836364253,4.788709340459693,3.210156987876672,3.045391803103645,0.3436403432302333,112.92236984299619
154,0.08846880173022909,-0.08517622647268082,-0.1085961835924227,-0.04205424407411072,2.2054162860812307,3.252612170587128,1.232000482069727,2.378929822807049,0.2558144823244364,121.08177980889715
157,0.1022409458221005,-0.1120999284240853,-0.1061332835348794,-0.04760907945267757,1.9771033253167167,4.0046887538246825,2.362010318011035,3.909952747897353,0.4078742963603379,112.85202453224986
159,0.1162883464251324,-0.1107671808698248,-0.1339051546952972,-0.06730719788531389,2.3537106961112566,3.331495806742997,1.7934781136175018,3.2520965167823928,0.4186228577995824,116.46911703354509
160,0.08359017979563296,-0.1057704348803129,-0.1015021776803813,-0.04319654790309785,2.115917172898286,3.195539665721331,1.800793122971754,2.3040271476178638,0.2361229041168836,112.91886653529241
166,0.1553817003122181,-0.1156223852472077,-0.09866236223363152,-0.09331117758016312,1.7986572745199108,4.920467426619664,3.7434665282330384,2.9733509683850765,0.3920814642789689,109.75362672824848
168,0.09439655250054446,-0.1107678656774443,-0.0908414960986548,-0.05544128498712751,1.790089957557511,3.5758033011261614,2.292825714229536,3.178686858916136,0.377806861210474,110.6514934477646
170,0.09857464115918176,-0.12677556485879599,-0.1070593202839127,-0.07281653535848462,2.109452478910841,2.851913020856587,2.787913810102701,3.0098282655543502,0.39080437343567603,114.12896550304922
172,0.1507416782903293,-0.1160607391409343,-0.1382125923762459,-0.08109471748484043,2.4068389051762216,4.865577045646617,3.176121571496573,3.1789578192346664,0.3957092347426908,109.89285409384857
173,0.1096081012135275,-0.1132322180961589,-0.1225157623627779,-0.06421420367790738,2.365369739354233,4.191216526598102,3.16793971835288,4.171816671483906,0.4658466692661591,118.37040135013606
174,0.07928979268239221,-0.1246027702310534,-0.1205795922731363,-0.05389717206975202,2.179944038786773,2.421595957100203,1.787484682497682,2.722838424233756,0.3531325350478475,114.14081395703049
177,0.08775569901404771,-0.1138098066394326,-0.1420496759000606,-0.0537841172364496,2.42140917534884,2.804287335371792,1.593157795434874,2.455541499733556,0.3180292955917627,113.67267520001124
180,0.1233723198030512,-0.09556440329189413,-0.1164850885676751,-0.06496900592758242,2.302735548645694,4.423234306370406,2.527177140821785,4.452325585389113,0.4915674964955778,113.22559687637226
183,0.1279406411254238,-0.1201580991292714,-0.1085284266276763,-0.08453322541116375,2.02239309319485,3.625297631202379,2.991996440168562,2.8470116758052515,0.3831561744228251,109.02534144107473
185,0.08333500471074166,-0.1105000879705218,-0.07682536278001363,-0.0411391574114179,1.6878094965752042,3.493650782943313,1.757080483435147,3.072384548530178,0.3423676032559436,114.89990344580099
186,0.0728498285021698,-0.1130697131068491,-0.1020522875617709,-0.04316481425576986,1.713405052103676,3.126178946604802,2.2626093684833406,2.317460501614097,0.2370726779354618,121.59473417654648
187,0.1453027082432495,-0.1070914638345205,-0.1467964160739789,-0.08948734121516277,2.628562516359417,4.310703582485253,3.048230773910788,3.3384751132771866,0.4352523459375532,113.6443046530252
188,0.1088038606709646,-0.123606497622803,-0.1318805151201575,-0.06345469682800282,2.400814821021208,3.148074138274733,1.9287100830684931,2.294365125837541,0.3059110533032456,111.27702615365452
189,0.09030382446356396,-0.1246865335546855,-0.1430510883596245,-0.06039212051727914,2.421236668524285,3.1054819973263763,2.697287675732775,3.067734409618672,0.3589288122465639,112.11578774478727
190,0.09686036017549103,-0.1072084379492911,-0.1257537644380713,-0.05392953294112409,2.3374540751542736,3.23218660435345,1.8180887427712744,2.8690570928251464,0.3298527375450285,107.53930197927843
191,0.08255301061019499,-0.1113378823710903,-0.09840479048327357,-0.05091528022934417,1.838417143795274,3.127893775931244,2.3145235384919163,2.429004070129961,0.2676834020311449,108.62811925110285
194,0.1395651372228997,-0.1152963023725055,-0.1382555383158384,-0.0959603465665088,2.423356363280955,3.697110735621087,2.936534850480274,2.654306860009829,0.3840866271205006,113.82010165650122
196,0.1138865080496246,-0.1031325573066371,-0.11604581846374498,-0.06406533044169765,2.029877855288679,4.3615398402489225,2.712440734639598,2.687333923363505,0.3232364150755318,111.43374558903645
197,0.1072497848481283,-0.1123741198680614,-0.1028043257942135,-0.06839102222306075,1.915959904431871,3.2266625204817183,2.204648145861861,2.774535484537176,0.3766963362880743,110.58767813377364
200,0.09733283659807283,-0.1108749675349528,-0.1105048498760691,-0.0525286241190842,2.2833417275143493,3.2822541785003567,1.9108859138485037,4.080129139117243,0.4432580135507445,111.36151577861872
201,0.06975104184143772,-0.09574915876482544,-0.1406817456399699,-0.04118179374064898,2.525994983293009,2.568286234424156,1.363413040333746,3.578506131496712,0.3825908918187456,112.31345855895584
202,0.1080460860423319,-0.09086545535855467,-0.1245992401818991,-0.055206750779225135,2.2381039705812262,4.3300309232687,2.363899032919965,2.255234733114015,0.2405445000323565,110.67180018925524
203,0.07772791185785298,-0.1009771084969535,-0.1086124922133157,-0.057697227072169996,2.0846761421497293,3.114100837081709,2.479993411797047,3.644850178256667,0.4164929848119854,120.31288222819776
