,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
77,0.1281646517652264,-0.08861521164008067,-0.09996413093199996,-0.06988701822938083,2.048079284677629,4.766809617462603,2.781560715893348,0.06992079899116457,115.55872062855549
78,0.08395851557699606,-0.1083505476540559,-0.0722216921256478,-0.05314411475876892,1.5818873568836307,3.046751464690153,2.204627502896374,0.06905428197924393,113.13068192838635
84,0.09709547545047686,-0.1021968580044016,-0.09671632721885592,-0.0623784112572229,1.890610988898432,3.984966703289075,3.16703581193469,0.063619153067176,109.80192789566128
86,0.07356864345967995,-0.12030945288412201,-0.07626321335041067,-0.0446216683246059,1.7706368619900992,2.747245960916066,2.2361711805604303,0.06409036668908849,117.79740781101307
87,0.0944032395342929,-0.1159185429097122,-0.09835850013693287,-0.061560106102860064,1.957262889642065,3.143752558512701,2.9505499368309778,0.07219597720648746,116.71572224963764
88,0.1689788995064528,-0.09550904347773448,-0.1244159150594141,-0.1006389215381922,2.208356855737788,5.269018078979253,3.75226132642489,0.08905620747485707,112.4612815559618
89,0.06783572875970831,-0.09224805535169436,-0.1233936563499611,-0.03787524846535553,2.17635851544492,3.385037599691456,1.8049804615825111,0.05826492881797238,117.53138335495504
92,0.09804617913052464,-0.08419732867341413,-0.1466630298478346,-0.05007926489369313,2.537309831050466,3.946248754030439,2.146754259649198,0.0538761113540119,110.24051933147163
93,0.06484150626594606,-0.1003067236696954,-0.1071338582282273,-0.0438977197165154,2.066396878530428,2.331142806476889,1.624281722250881,0.058527119498236614,115.08091739259652
94,0.1674319727784086,-0.1068734853618566,-0.1282502488631509,-0.1047555870316792,2.2770874682149382,5.334221793802072,4.218237823688916,0.0928518207171265,116.5468024319479
95,0.1011623598655759,-0.09589317069343338,-0.1464843485811315,-0.061732878173662485,2.746737823845028,3.50925160856575,2.328778953609334,0.06941191211813638,111.88009553334714
96,0.1207582920858665,-0.1188683242263657,-0.1138059957929262,-0.07854671938088129,2.2137377908082816,4.097649107806578,3.6050101499583542,0.076374591951879,109.702383928396
99,0.08758040173698657,-0.1123293390672907,-0.1228869488853468,-0.06043629541467279,2.2033124055985898,3.126740754600166,2.658447167227978,0.07183206494151582,108.5668142837936
100,0.1364593812337773,-0.1236811690849295,-0.07963276369558134,-0.08269713464256842,1.7247639081887245,4.294269737763201,3.471910210719128,0.08742061673610338,113.57343096991337
101,0.1237638761142226,-0.1045766085713302,-0.10897487025117801,-0.07216997083816942,2.08982347167611,4.507662886976666,3.318229962113583,0.07185899627468734,106.53028938448419
103,0.09827665119526537,-0.09157111726057353,-0.1117612497344612,-0.051227410161806416,2.2835801417180823,3.521448760504143,2.0541408015082734,0.06137596470356574,116.58000084636491
104,0.07185186707515331,-0.09458333337831322,-0.1271439593509101,-0.045698387065463,2.507083498987487,3.095095870709667,1.997202518696329,0.059569465952950276,115.73745795064328
105,0.08786677678650458,-0.08750023265657875,-0.081481172377386,-0.0486125283426159,1.8813457385730243,3.758736139402002,2.136854048594267,0.05762206254246768,114.68124155394268
106,0.08937240574369443,-0.09144559633862133,-0.13336052011207,-0.05125048384001804,2.352966523056874,3.7591028656019274,2.242255531680958,0.05658246272140643,110.82933400949759
107,0.0942326296170214,-0.1008413116754342,-0.09632700470824124,-0.04918902081490911,1.9174829643822,3.951351340113219,2.249047586694526,0.06655431224311964,109.53284160448798
108,0.11579728175910901,-0.09923465508893277,-0.1203350171090337,-0.07327081680464019,2.120161302202589,3.8893743075901233,2.8845997546766835,0.08298023379594739,110.29401434384987
116,0.06409460872536457,-0.1062059203544566,-0.11052790815740099,-0.0424113145583488,2.215304742018042,2.209498369378429,1.436196279000864,0.06762035976299839,112.98583310894564
118,0.08750315924991175,-0.09831049573265603,-0.1119870575696756,-0.04579224588837537,2.090618442956642,3.3915578842576366,2.059233671537243,0.05988440569568479,109.17003455614888
120,0.0889156079560817,-0.1070604004073678,-0.1096996405851114,-0.05052406980666802,2.035066669821448,3.4149791626417247,2.331409312912184,0.05900442532405855,111.23535929282473
121,0.07569567301193192,-0.09821690009790426,-0.10527261794519902,-0.049776596441825235,2.011431799658789,2.768811682603618,1.979261057751762,0.0680921429661097,107.7099096340081
122,0.118499458822568,-0.1114317944786292,-0.1457225393892206,-0.06885821162831485,2.533982831552992,3.708962364177772,2.635893328395082,0.07492113659339737,110.8186113708014
123,0.085752478870287,-0.08626326413524972,-0.1915003491610562,-0.04766603550606603,2.943581150497306,3.073495552265538,1.340200589747469,0.06445073235853459,116.38380352359013
124,0.09610500775245838,-0.09595614477125892,-0.08214221638831994,-0.058684798104117024,1.860429747116066,3.701761717605119,2.7111596871997112,0.058279616549214076,116.29496043289936
125,0.07272645388011575,-0.1001830733808434,-0.07823171989016413,-0.0462625865561279,1.7508708597209484,3.022187291732054,2.28724109135119,0.060593378082343885,112.83625177160914
128,0.07402177777840441,-0.09900885791009913,-0.1077979453817193,-0.05251044379921727,2.011401596557769,2.585861468021029,1.8763270969520431,0.06881458172417715,114.91029238142823
