,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3,unpol4
103,310,200,0.35,0.6,-0.0094,0.01481,0.0012110926744012638,0.0019335667216774863,0.003001401844562007,0.004799694415876473
104,310,200,0.45,0.25,-0.015,0.008334999999999999,0.004998107519459602,0.013585453220243722,0.008923500047433452,0.02427644661137556
105,310,200,0.45,0.35,-0.0018,0.01291,0.0029969639927630892,0.007753446136186469,0.00562994964598362,0.01459711069349889
106,310,200,0.45,0.45,-0.0465,0.01875,0.0017686207289166886,0.0039867346367179635,0.0033839102686139435,0.007659360652992701
107,310,200,0.45,0.6,-0.0141,0.02112,0.0008487487277550755,0.001355793393087161,0.0016452033423131032,0.0026392361495595805
108,310,200,0.6,0.25,-0.0084,0.011009999999999999,0.001981641758736298,0.0044514251515319425,0.002960765395392949,0.006654862828668542
109,310,200,0.6,0.35,-0.0213,0.01725,0.0011918516622098935,0.002589024417915113,0.0018529544946895421,0.004032192772085298
110,310,200,0.6,0.45,-0.0577,0.02441,0.0006944390698785743,0.0013520278655759018,0.0010971389157449004,0.0021423402875561793
111,310,200,0.6,0.6,-0.051,0.02754,0.00032692954233060935,0.0004783457962957226,0.0005236274246409391,0.0007680049728952713
112,310,205,0.25,0.25,-0.0236,0.005228,0.0064759100044759045,0.017598866486138565,0.025059347867506056,0.06809279005880031
113,310,205,0.25,0.35,-0.0453,0.007755,0.0036679426564281007,0.009392085059619616,0.0148852742655824,0.03810974950975998
114,310,205,0.25,0.45,-0.0566,0.010879999999999999,0.0021645483915816027,0.004757409102120365,0.008947021377480158,0.019661450839435074
115,310,205,0.25,0.6,-0.1095,0.01165,0.0010536803912816763,0.001636034648239037,0.0044015558710826155,0.0068336712223568755
116,310,205,0.35,0.25,-0.0089,0.004604,0.007588382686268866,0.020321292898815076,0.01703101442739723,0.045635720239270844
117,310,205,0.35,0.35,-0.0283,0.0067540000000000005,0.004460797265375149,0.011343309439629226,0.010645132659648641,0.027098488933433012
118,310,205,0.35,0.45,-0.048,0.009595000000000001,0.0026374623598958715,0.005816261825374977,0.006439404612667206,0.014225029356820972
119,310,205,0.35,0.6,-0.0958,0.01111,0.001274085257667742,0.00199648737722481,0.0031542980056946373,0.004952516828002283
120,310,205,0.45,0.25,-0.013,0.005961999999999999,0.007193851967723798,0.015780509019431156,0.012843746822929101,0.028196363091497204
121,310,205,0.45,0.35,-0.0226,0.008415,0.004291620820972786,0.009047969158429016,0.00806163685930226,0.017033400514309936
122,310,205,0.45,0.45,-0.0597,0.01162,0.002502341764623196,0.004720412961980208,0.004786606684842732,0.009056956136017624
123,310,205,0.45,0.6,-0.0826,0.01265,0.0011844446020356128,0.0016915330785847735,0.002294502450823471,0.003288565138560242
124,310,205,0.6,0.25,-0.0508,0.007599,0.004091263433716732,0.006561022516528711,0.0061146082900651886,0.009808757674823134
125,310,205,0.6,0.35,-0.0609,0.01048,0.0024946324229116463,0.0038918879133278722,0.0038809335756854906,0.0060601459557629985
126,310,205,0.6,0.45,-0.0621,0.01403,0.0014579986884322843,0.0021155714418719176,0.0023048843614516964,0.00334977296310442
127,310,205,0.6,0.6,-0.0828,0.01405,0.000689532633547345,0.0008409416942740491,0.0011043016823143487,0.0013489803092324058
