had1,had2,z1,z2,mins,maxx,fit_line,conv
310.0,100.0,0.45,0.525,-0.02327770480028559,-0.010149227695807476,-0.01767763619959429,-0.018979493161521848
310.0,100.0,0.45,0.5785714285714285,-0.021929362081148374,-0.0068500355602770105,-0.015692722565288822,-0.017049871587380184
310.0,100.0,0.45,0.6321428571428571,-0.019879121883552564,-0.0022837641181529,-0.01281722911448816,-0.014066807968597925
310.0,100.0,0.45,0.6857142857142857,-0.017169025195523043,0.003280568193741531,-0.009132356850495722,-0.01008875107415313
310.0,100.0,0.45,0.7392857142857143,-0.013926163102403329,0.00965980042375089,-0.004781818315197975,-0.00528496179563538
310.0,100.0,0.45,0.7928571428571428,-0.010276926565371635,0.01664897615965191,7.389487617446989e-05,0.00013387548820388586
310.0,100.0,0.45,0.8464285714285714,-0.006451133368614939,0.024052282569850512,0.0052823252707335025,0.0059690696107750725
310.0,100.0,0.45,0.9,-0.0025933319782340523,0.03176860105614306,0.010760975036172007,0.0120659229330108
310.0,100.0,0.6,0.15,-0.01797576010694766,-0.012327919736561038,-0.015327227187344222,-0.012066727155392053
310.0,100.0,0.6,0.20357142857142854,-0.023793763779549133,-0.016388064395881124,-0.0203211309339953,-0.019181406221575756
310.0,100.0,0.6,0.2571428571428571,-0.029230023182018793,-0.02023867497930401,-0.02501559006181095,-0.02455146092303449
310.0,100.0,0.6,0.3107142857142857,-0.034260839449365775,-0.023869435090803786,-0.0293933606906966,-0.029648597619536005
310.0,100.0,0.6,0.3642857142857143,-0.03884205822815046,-0.027251523023413143,-0.033416682216860484,-0.034380890365546826
310.0,100.0,0.6,0.4178571428571428,-0.04288216161583611,-0.030319283733653068,-0.037003702214582115,-0.03887454479767207
310.0,100.0,0.6,0.4714285714285714,-0.046304015069413056,-0.033005288514341084,-0.04007524196876136,-0.0430071610566532
310.0,100.0,0.6,0.525,-0.0489920917601936,-0.035189718745376485,-0.04248929329053234,-0.04648667600753467
310.0,100.0,0.6,0.5785714285714285,-0.050725749133165694,-0.036739562621716265,-0.044092591152025615,-0.04903877340944684
310.0,100.0,0.6,0.6321428571428571,-0.05136374337649292,-0.03741509923731516,-0.044721156743840765,-0.050403829940232375
310.0,100.0,0.6,0.6857142857142857,-0.05087407301892869,-0.03693191160428883,-0.04419052803030598,-0.05031179039153293
310.0,100.0,0.6,0.7392857142857143,-0.04888101077452652,-0.03505671288768237,-0.042299339678509636,-0.048517156013881214
310.0,100.0,0.6,0.7928571428571428,-0.045131452213156335,-0.031074657449690117,-0.0387836052946975,-0.04469831667401402
310.0,100.0,0.6,0.8464285714285714,-0.03943248968653838,-0.023906595223429267,-0.0332998766888293,-0.03846392867204736
310.0,100.0,0.6,0.9,-0.031071284416720406,-0.013641280408493904,-0.025262545052170564,-0.02917734383596534
310.0,105.0,0.25,0.15,-0.024187513212390214,-0.01583248064013544,-0.019968527147016284,-0.01803623074613646
310.0,105.0,0.25,0.20357142857142854,-0.03464140621280388,-0.024035920264950487,-0.02935963866816464,-0.03457715438129281
310.0,105.0,0.25,0.2571428571428571,-0.04460391581131266,-0.03193106389964915,-0.03831414191305173,-0.05121844019254198
310.0,105.0,0.25,0.3107142857142857,-0.05362148628157359,-0.03916746939555263,-0.04650992977528313,-0.06644324732678766
310.0,105.0,0.25,0.3642857142857143,-0.061877438607219136,-0.04575920540125325,-0.05407423108234154,-0.08020071272668383
310.0,105.0,0.25,0.4178571428571428,-0.07015597672560943,-0.052025167828997625,-0.06151221520391836,-0.09336551400442349
310.0,105.0,0.25,0.4714285714285714,-0.0786542574760176,-0.05843998410462314,-0.06909412291195881,-0.10651239110235168
